artist	title	m1	b1	bpm	db0	db8	tranche	transcription	TextGrid	artistOriginYear	era	songYear	album	region	type	bestOf
casual	thatsHowItIs	0	0.25	90.2702	NA	NA	genre1	1	1	1990	early	1994	fearItself	west	undetermined	complexSleptOn
dannyBrown	twentyFiveBucks	-1	3.5	58	NA	NA	genre1	1	0	2003	late	2014	old	midwest	undetermined	xxlFreshmen
deLaSoul	meMyselfAndI	0	0	114.5256	NA	NA	genre1	1	0	1987	early	1989	3feetHighandRising	east	undetermined	betMostInfluential
diggySimmons	doItLikeYou	-1	0.75	75	NA	NA	genre1	1	0	2009	late	2012	unexpectedArrival	east	undetermined	xxlFreshmen
dizzyWright	cantTrustEm	-1	3	140	NA	NA	genre1	1	0	1999	mid	2012	smokeOutConversations	west	undetermined	xxlFreshmen
drDre	theNextEpisode	-1	2.25	95.2621	NA	NA	genre1	1	0	1984	early	1999	2001	west	undetermined	"betMostInfluential, complexBestSelling"
eminem	tonite	-1	2.75	91.06431417	1.899	22.983	eminem	1	NA	NA	NA	1996	Infinite	midwest	artist_nonAlbum_nonSingle	
eminem	badInfluence	-1	3.5	90.10277348	0.351	21.66	eminem	1	NA	NA	NA	1999	End of Days Soundtrack	midwest	artist_nonAlbum_nonSingle	
eminem	imShady	-1	3.75	92.95120062	0.79	21.446	eminem	1	NA	NA	NA	1999	The Slim Shady LP	midwest	artist_album_nonSingle	
eminem	stillDont	-1	3.75	89.95502249	0.058	21.402	eminem	1	NA	NA	NA	1999	The Slim Shady LP	midwest	artist_album_nonSingle	
eminem	myNameIs	-1	3.75	85.61109377	0.289	22.716	eminem	1	NA	NA	NA	1999	The Slim Shady LP	midwest	artist_album_single	
eminem	drugBallad1	0	0	103.164795	0.183	18.794	eminem	1	NA	NA	NA	2000	The Marshall Mathers LP	midwest	artist_album_single	
eminem	theWayIAm	-1	3.5	86.47869561	0.369	22.571	eminem	1	NA	NA	NA	2000	The Marshall Mathers LP	midwest	artist_album_single	
eminem	whatTheBeat	0	0.25	97.02850212	0.466	20.254	eminem	1	NA	NA	NA	2000	The Professional 2	midwest	artist_nonAlbum_nonSingle	
eminem	revelation	-1	3.5	93.82788447	2.508	22.971	eminem	1	NA	NA	NA	2001	Devils Night LP	midwest	artist_nonAlbum_nonSingle	
eminem	loveMe	-1	3.25	80.98190561	1.096	24.805	eminem	1	NA	NA	NA	2002	8 Mile Soundtrack	midwest	feature_single	
eminem	tillICollapse1	-1	3.25	85.68750837	0.888	23.295	eminem	1	NA	NA	NA	2003	The Eminem Show	midwest	artist_album_nonSingle	
eminem	likeToySoldiers	-1	3.75	81.79610616	0.279	23.752	eminem	1	NA	NA	NA	2004	Encore	midwest	artist_album_nonSingle	
eminem	mosh	-1	3.5	72.51850733	0.46	26.936	eminem	1	NA	NA	NA	2004	Encore	midwest	artist_album_nonSingle	
eminem	spendSomeTime2	-1	2.25	83.70389746	1.446	24.384	eminem	0	0	NA	NA	2004	Encore	midwest	artist_album_nonSingle	
eminem	fubbaU	-1	2.5	90.81019723	1.055	22.198	eminem	1	NA	NA	NA	2006	NA	midwest	artist_nonAlbum_nonSingle	
eminem	dumpin	-1	2.75	89.02489915	0.897	22.464	eminem	1	NA	NA	NA	2006	Payin' Dues	midwest	feature_nonSingle	
eminem	theReup	-1	3.25	86.00223964	0.673	22.998	eminem	1	NA	NA	NA	2006	The ReUp	midwest	artist_nonAlbum_nonSingle	
eminem	3am	-1	3.75	76.51536285	0.251	25.344	eminem	1	NA	NA	NA	2009	Relapse	midwest	artist_album_nonSingle	
eminem	bagpipes	-1	3	93.06383597	2.405	23.036	eminem	1	NA	NA	NA	2009	Relapse	midwest	artist_album_nonSingle	
eminem	crack	-1	3.25	84.000525	1.19	24.047	eminem	1	NA	NA	NA	2009	Relapse	midwest	artist_album_nonSingle	
eminem	myMom	-1	3.5	90.0140647	1.028	22.358	eminem	1	NA	NA	NA	2009	Relapse	midwest	artist_album_nonSingle	
eminem	oldTimesSake3	0	0.5	88.04512313	5.261	27.068	eminem	0	0		NA	2009	Relapse	midwest	artist_album_single	
blackThought	baby2	0	0.5	113	NA	NA	blackThoughtOther	1	NA	NA	NA	NA	gameTheory	NA	album	
